Model,Sample,Split,Metric,Value
LR,0.7,0.5,Recall,0.6424161669480268
LR,0.7,0.5,F1-Score,0.6753560895063758
LR,0.7,0.5,AUC,0.6424161669480268
KNN,0.7,0.5,Accuracy,0.8654702934723247
KNN,0.7,0.5,Precision,0.8244644459103059
KNN,0.7,0.5,Recall,0.6550903804487962
KNN,0.7,0.5,F1-Score,0.6933584404694082
KNN,0.7,0.5,AUC,0.6550903804487962
DTC,0.7,0.5,Accuracy,0.9326984187817178
DTC,0.7,0.5,Precision,0.8846177531837385
DTC,0.7,0.5,Recall,0.8826755930088387
DTC,0.7,0.5,F1-Score,0.8836422733587009
DTC,0.7,0.5,AUC,0.8826755930088387
RFC,0.7,0.5,Accuracy,0.9471500704218605
RFC,0.7,0.5,Precision,0.9197870756441924
RFC,0.7,0.5,Recall,0.8935644219798708
RFC,0.7,0.5,F1-Score,0.9059511418095483
RFC,0.7,0.5,AUC,0.893564421979871
XGB,0.7,0.5,Accuracy,0.9525698390038101
XGB,0.7,0.5,Precision,0.9251354648941483
XGB,0.7,0.5,Recall,0.9086194291728422
XGB,0.7,0.5,F1-Score,0.9165953245665761
XGB,0.7,0.5,AUC,0.9086194291728421
LR,0.5,0.9,Accuracy,0.8532784869553554
LR,0.5,0.9,Precision,0.7810681586828276
LR,0.5,0.9,Recall,0.6371100033575492
LR,0.5,0.9,F1-Score,0.6688957997366864
LR,0.5,0.9,AUC,0.6371100033575492
KNN,0.5,0.9,Accuracy,0.8790324383537145
KNN,0.5,0.9,Precision,0.840005535365568
KNN,0.5,0.9,Recall,0.7022362723053075
KNN,0.5,0.9,F1-Score,0.7430963493542867
KNN,0.5,0.9,AUC,0.7022362723053076
DTC,0.5,0.9,Accuracy,0.9338937202387606
DTC,0.5,0.9,Precision,0.887804888271971
DTC,0.5,0.9,Recall,0.8840583451337392
DTC,0.5,0.9,F1-Score,0.8859153344090172
DTC,0.5,0.9,AUC,0.8840583451337392
RFC,0.5,0.9,Accuracy,0.9469718986832398
RFC,0.5,0.9,Precision,0.9183706138687129
RFC,0.5,0.9,Recall,0.895526047683928
RFC,0.5,0.9,F1-Score,0.906394493040394
RFC,0.5,0.9,AUC,0.8955260476839279
XGB,0.5,0.9,Accuracy,0.9547070264469831
XGB,0.5,0.9,Precision,0.9281319667760848
XGB,0.5,0.9,Recall,0.9141213904243274
XGB,0.5,0.9,F1-Score,0.920924741446739
XGB,0.5,0.9,AUC,0.9141213904243274
LR,0.5,0.8,Accuracy,0.8556465946054705
LR,0.5,0.8,Precision,0.7848570528516876
LR,0.5,0.8,Recall,0.6416190821581211
LR,0.5,0.8,F1-Score,0.6743655691813426
LR,0.5,0.8,AUC,0.6416190821581212
KNN,0.5,0.8,Accuracy,0.8783045125809011
KNN,0.5,0.8,Precision,0.8382708287121365
KNN,0.5,0.8,Recall,0.6979473615065738
KNN,0.5,0.8,F1-Score,0.7388682548893201
KNN,0.5,0.8,AUC,0.6979473615065737
DTC,0.5,0.8,Accuracy,0.9349437184918568
DTC,0.5,0.8,Precision,0.8888628657623031
DTC,0.5,0.8,Recall,0.8857017817312821
DTC,0.5,0.8,F1-Score,0.8872708317812756
DTC,0.5,0.8,AUC,0.8857017817312822
RFC,0.5,0.8,Accuracy,0.9475078525838074
RFC,0.5,0.8,Precision,0.9192185806544657
RFC,0.5,0.8,Recall,0.8955751412734275
RFC,0.5,0.8,F1-Score,0.9068076935639267
RFC,0.5,0.8,AUC,0.8955751412734275
XGB,0.5,0.8,Accuracy,0.9539352343479282
XGB,0.5,0.8,Precision,0.9260603411021011
XGB,0.5,0.8,Recall,0.9128096249098876
XGB,0.5,0.8,F1-Score,0.9192541731837511
XGB,0.5,0.8,AUC,0.9128096249098876
LR,0.5,0.7,Accuracy,0.8559079527840706
LR,0.5,0.7,Precision,0.7856346615311298
LR,0.5,0.7,Recall,0.6439447189277541
LR,0.5,0.7,F1-Score,0.6769130858524471
LR,0.5,0.7,AUC,0.6439447189277541
KNN,0.5,0.7,Accuracy,0.8758867890783355
KNN,0.5,0.7,Precision,0.8351746409463243
KNN,0.5,0.7,Recall,0.6915260909143253
KNN,0.5,0.7,F1-Score,0.7321850013060005
KNN,0.5,0.7,AUC,0.6915260909143253
DTC,0.5,0.7,Accuracy,0.9341018838678908
DTC,0.5,0.7,Precision,0.8869785330875006
DTC,0.5,0.7,Recall,0.8856518792768296
DTC,0.5,0.7,F1-Score,0.8863131663726034
DTC,0.5,0.7,AUC,0.8856518792768296
RFC,0.5,0.7,Accuracy,0.9471578037438894
RFC,0.5,0.7,Precision,0.9197259373306492
RFC,0.5,0.7,Recall,0.8939584933743382
RFC,0.5,0.7,F1-Score,0.9061416334582353
RFC,0.5,0.7,AUC,0.8939584933743383
XGB,0.5,0.7,Accuracy,0.953678311672827
XGB,0.5,0.7,Precision,0.9262838044505128
XGB,0.5,0.7,Recall,0.9118621656356766
XGB,0.5,0.7,F1-Score,0.9188584437972313
XGB,0.5,0.7,AUC,0.9118621656356766
LR,0.5,0.6,Accuracy,0.8553894993349057
LR,0.5,0.6,Precision,0.7868108805610393
LR,0.5,0.6,Recall,0.6426647028737049
LR,0.5,0.6,F1-Score,0.675578111655673
LR,0.5,0.6,AUC,0.642664702873705
KNN,0.5,0.6,Accuracy,0.8732129084181934
KNN,0.5,0.6,Precision,0.8318145510652927
KNN,0.5,0.6,Recall,0.6848419191996703
KNN,0.5,0.6,F1-Score,0.7250789045859699
KNN,0.5,0.6,AUC,0.6848419191996703
DTC,0.5,0.6,Accuracy,0.9325907378634265
DTC,0.5,0.6,Precision,0.8836817441569222
DTC,0.5,0.6,Recall,0.8853635301938239
DTC,0.5,0.6,F1-Score,0.8845193153520645
DTC,0.5,0.6,AUC,0.8853635301938239
RFC,0.5,0.6,Accuracy,0.946507416639653
RFC,0.5,0.6,Precision,0.9199680716550884
RFC,0.5,0.6,Recall,0.8917216546241766
RFC,0.5,0.6,F1-Score,0.9050004118232273
RFC,0.5,0.6,AUC,0.8917216546241767
XGB,0.5,0.6,Accuracy,0.9534825231106292
XGB,0.5,0.6,Precision,0.9265223989657447
XGB,0.5,0.6,Recall,0.9113486178270662
XGB,0.5,0.6,F1-Score,0.918697389235136
XGB,0.5,0.6,AUC,0.9113486178270662
LR,0.5,0.5,Accuracy,0.8557535814569063
LR,0.5,0.5,Precision,0.785493752792709
LR,0.5,0.5,Recall,0.643823946380877
LR,0.5,0.5,F1-Score,0.6767502898903425
LR,0.5,0.5,AUC,0.643823946380877
KNN,0.5,0.5,Accuracy,0.8707053815749468
KNN,0.5,0.5,Precision,0.8263593914549869
KNN,0.5,0.5,Recall,0.6770995739901191
KNN,0.5,0.5,F1-Score,0.7166254141476227
KNN,0.5,0.5,AUC,0.6770995739901191
DTC,0.5,0.5,Accuracy,0.9305617656001288
DTC,0.5,0.5,Precision,0.8815930075207332
